CompanyName,ProductName,ProductID,Target
Bobo Choses,FLOWERS ALL OVER HOODED SWEATSHIRT,02cd890e-ad74-4e8f-9fc3-cc47701654a5,Bobo Choses FLOWERS ALL OVER HOODED SWEATSHIRT
Girlfriend collective,Compressive 7/8 high-rise stretch-recycled polyester leggings,04142a36-1ebc-4b4a-a559-72c3f8a89bc2,Girlfriend collective Compressive 7/8 high-rise stretch-recycled polyester leggings
Ralph Lauren Corporation,Men's Regular-Fit Ultraflex Stripe Dress Shirt,0490914b-2121-44fe-8d82-1cebe3b65963,Ralph Lauren Corporation Men's Regular-Fit Ultraflex Stripe Dress Shirt
ALIGNE,Faith Sheer Check Tie Waist Midi Dress,04e1df16-30f9-401f-b85c-029584b6af6f,ALIGNE Faith Sheer Check Tie Waist Midi Dress
Johanna Ortiz,Mandarine Dancing Maxi Dress,05fd3d8a-0494-41c8-b7c6-de3e46c39176,Johanna Ortiz Mandarine Dancing Maxi Dress
Yes And,Jane Tie Dye Tank,06ea10ea-1dbb-41a5-b0f5-50ca50c6f926,Yes And Jane Tie Dye Tank
Sunday Riley,Pink Drink firming resurfacing essence 50ml,07eef6bc-d4d9-4293-943f-9ba8d7079e38,Sunday Riley Pink Drink firming resurfacing essence 50ml
Ganni,Cotton Crochet Bucket Hat,08457bb2-0071-4cc0-a87a-476d49c795e9,Ganni Cotton Crochet Bucket Hat
Christy Dawn,The Berkley Dress,08b24d4e-cede-47ae-9196-4584d471be74,Christy Dawn The Berkley Dress
Zodiac,Women's Yves Beaded Flat Sandals,0a6df1cc-c615-4fae-b67d-546808845188,Zodiac Women's Yves Beaded Flat Sandals
Beyond Yoga,MID WAIST SPACE DYE LEGGINGS,0aa1acf9-9ca0-477d-b6d3-f62db5b04a12,Beyond Yoga MID WAIST SPACE DYE LEGGINGS
Levi Strauss & Co,Audrey Cozy Cardigan,0b390cb0-d9b1-432f-9d88-967fe46a1c37,Levi Strauss & Co Audrey Cozy Cardigan
Holo footwear,Women's Maverick Waterproof Sneakers,0b9b9715-3cef-4c70-b94c-032ccd128bc1,Holo footwear Women's Maverick Waterproof Sneakers
GSL,FRANKLIN,0baf4fea-c51c-4dd5-aaf9-97f1789b42c2,GSL FRANKLIN
Harvest & Mill,Women's Organic Black Pack: Shorts + Unisex Style Tee,0bdd3830-95ee-467b-a9a2-c0919f9b38d6,Harvest & Mill Women's Organic Black Pack: Shorts + Unisex Style Tee
Cami NYC,Rochella Silk Cami,0c096094-0cab-449f-8085-0e4d0e0d6b9a,Cami NYC Rochella Silk Cami
Sunday Riley,Saturn sulfur spot treatment 15ml,0c461244-aea4-4b66-a86c-f1ae29e7ed53,Sunday Riley Saturn sulfur spot treatment 15ml
The Sak,Women's Bolinas Crochet Clogs,0c5f4240-a48a-4b17-92bc-5806153479e5,The Sak Women's Bolinas Crochet Clogs
Outland Denim,Amelia LS Chambray Shirt,0c8e49a1-1683-4dfc-bc14-a1fe5cf213ff,Outland Denim Amelia LS Chambray Shirt
Banana Republic,Soft Wash Crew-Neck T-Shirt,0ce4b9bb-9d5e-48c0-8f17-8398bf634cc2,Banana Republic Soft Wash Crew-Neck T-Shirt
Levi Strauss & Co,Edie Packable Jacket,0d07d7be-1674-4c5d-a518-fad1f4ce91f1,Levi Strauss & Co Edie Packable Jacket
Canada Goose,Ryha Overcoat HUMANATURE,0d999255-8b70-4b2b-a038-6de837e8b500,Canada Goose Ryha Overcoat HUMANATURE
Christy Dawn,Gwen Dress,0dabbf7a-fa93-429b-a96a-87ecd0383aeb,Christy Dawn Gwen Dress
Nanushka,Leather-Blend Ado Biker Jacket,0dafbd20-9a52-47bd-87f2-ab7dc6a58c84,Nanushka Leather-Blend Ado Biker Jacket
Everlane,The Cotton Thong,0e079b15-3182-4be4-8121-7e8f493b8528,Everlane The Cotton Thong
Yes And,Simone Tie Dye Midi Skirt,0e2b8b7a-af7d-433a-be91-d9bc63164358,Yes And Simone Tie Dye Midi Skirt
Babytoly,Double Stripes Vest,0e93f0b1-704b-4ea3-bca8-2cfc31bdaebe,Babytoly Double Stripes Vest
"Textile Tech Enterprise Co., Ltd.",Sorona® Jersey - Wicking Finish,0f2c73ea-ee9b-40e3-ba1b-e236f42e21f3,"Textile Tech Enterprise Co., Ltd. Sorona® Jersey - Wicking Finish"
SOKO,Kazuri Mpira Choker Necklace,0f3d80e8-9d34-4b58-a034-484d2aea68d4,SOKO Kazuri Mpira Choker Necklace
Adore Me,Bailey White L,0fa83ff3-333d-4a31-8478-498bdacc270b,Adore Me Bailey White L
Isotoner Signature,Microsuede Water-Repellent Gloves,0fd01881-554a-4747-a9b7-e136b210b09a,Isotoner Signature Microsuede Water-Repellent Gloves
GAP,70s Flare Jeans with Washwell,0ffacc76-cf03-4c3a-b78d-d39b4a5e4d1b,GAP 70s Flare Jeans with Washwell
Allude,Cashmere Blend Long Button Through Cardigan,105db264-a0ac-4cbb-b426-a9e15f002f18,Allude Cashmere Blend Long Button Through Cardigan
H&M Group,Rib-knit dress,106f2b79-d277-4d86-bc8f-0394fdc607f2,H&M Group Rib-knit dress
Johanna Ortiz,Ecru Appeal Maxi Dress,10ece897-510e-4c03-9dc3-1e4427c8d8c8,Johanna Ortiz Ecru Appeal Maxi Dress
ABLE,CHLOE HERRINGBONE SWEATER VEST,1168d916-c5fd-4de4-b6c9-c2aad54866af,ABLE CHLOE HERRINGBONE SWEATER VEST
Faherty Brand,Short-Sleeve Surf Stripe Pocket Tee,1183b271-3607-46d6-945e-a695af557f1f,Faherty Brand Short-Sleeve Surf Stripe Pocket Tee
Baum and Pferdgarten,Darling Checked Coat,11f3ead0-d63d-4999-a201-ba9cc33d5d54,Baum and Pferdgarten Darling Checked Coat
New Balance Athletic Shoe Inc,574,12327543-9dec-4db6-80a1-716ddcc001e9,New Balance Athletic Shoe Inc 574
Ganni,Cotton Smocked Cover Up Top,126e0d28-b196-400b-b064-aed6be289652,Ganni Cotton Smocked Cover Up Top
Johanna Ortiz,Forget Me Knot Top,127bfc46-c94f-40be-a1c3-6279e76f04a4,Johanna Ortiz Forget Me Knot Top
Polo Ralph Lauren,5.75-Inch Traveler Classic Swim Trunk,12b1fbca-2796-4d79-91b3-c9c4bd8f4c38,Polo Ralph Lauren 5.75-Inch Traveler Classic Swim Trunk
Fendi,Cropped Rib-Knit Top,132469e2-929b-49a3-9ac9-a326598136c1,Fendi Cropped Rib-Knit Top
Colorful Standard,Classic Organic Sock,13397334-eb42-42af-bb59-4618686cb1ab,Colorful Standard Classic Organic Sock
Naturalizer,Vera Ankle Strap Sandals TRUE COLORS,135a63d8-ec0c-48a5-ba5b-abf5ce7950ef,Naturalizer Vera Ankle Strap Sandals TRUE COLORS
John Hardy,John Hardy Men's Sterling Silver Classic Chain Beaded Bracelet with Black Onyx,1369e427-80c0-46ee-9bd7-4a8ce546839e,John Hardy John Hardy Men's Sterling Silver Classic Chain Beaded Bracelet with Black Onyx
Macy's,"Men's 4-Way Stretch 9"" Eco-Tech Shorts, Created for Macy's",13c226d0-380a-4a89-bf86-4635185e9917,"Macy's Men's 4-Way Stretch 9"" Eco-Tech Shorts, Created for Macy's"
Outland Denim,Sunday LS Tee,13c6aa76-a88d-4d9e-b316-3f1b93555402,Outland Denim Sunday LS Tee
John Hardy,Sterling Silver Classic Chain Loop & Chain Drop Earrings,13ea4d83-9a56-49a7-9a18-1f394ecaa7c1,John Hardy Sterling Silver Classic Chain Loop & Chain Drop Earrings
Macy's,"Bristol Skinny Jeans Collection, Created for Macy's",142446b8-3688-4e5f-86bf-0d0454f0ceca,"Macy's Bristol Skinny Jeans Collection, Created for Macy's"
baobao,Prism Tote,0c327308-d598-4f5b-ab62-c86b46f10078,baobao Prism Tote
Bailey 44,Hadleigh Cutout Sweater,142b8666-c9af-4788-8630-da4925757c1c,Bailey 44 Hadleigh Cutout Sweater
COS,Leather Platform Slides,14a77ed0-787e-4327-a231-ad360cfed61e,COS Leather Platform Slides
Franco Sarto,Glenni Sandals,14b46894-1e99-4c95-93d1-ed3a7b5ee854,Franco Sarto Glenni Sandals
La Perla,Silk Nightgown Slip,14b96d75-feb3-4c37-92ed-1b599700bb05,La Perla Silk Nightgown Slip
Topytop S.A,T-Shirt Topitop,1531af36-0c4d-4e6e-805c-1d010820de7b,Topytop S.A T-Shirt Topitop
Bobo Choses,CAT O'CLOCK ALL OVER SWEATSHIRT,1565baee-59f8-4f7d-88e6-9a9719c01df6,Bobo Choses CAT O'CLOCK ALL OVER SWEATSHIRT
Allude,Cashmere Relaxed Mock Neck Knit,158524bb-c498-48cf-9ba2-319eaff651da,Allude Cashmere Relaxed Mock Neck Knit
Topytop S.A,Polo Shirt Topitop,158ebddc-4a4b-4f67-9cb1-4d1399e34e66,Topytop S.A Polo Shirt Topitop
Babytoly,Stella Dress,15c75c97-2006-42d5-bf30-947126992949,Babytoly Stella Dress
Macy's,"Women's Compression High-Rise Side-Pocket Cropped Leggings, Regular & Petite, Created for Macy's",15e0bbe8-acee-4bcd-8192-9e42033df911,"Macy's Women's Compression High-Rise Side-Pocket Cropped Leggings, Regular & Petite, Created for Macy's"
Ted Baker,Camdn Short Sleeve Polo Shirt,1654113d-f70c-4475-ae2c-5ff0e63bf011,Ted Baker Camdn Short Sleeve Polo Shirt
Faherty Brand,Knit Seasons Shirt(OLV),16715cd8-bb49-4060-96d7-bda63a2ddd94,Faherty Brand Knit Seasons Shirt(OLV)
Emilia George,Vivian Maternity Sheath Dress,1677ca58-23c6-41c1-8671-aee5cde520fb,Emilia George Vivian Maternity Sheath Dress
ALIGHIERI,The Infernal Realm Ring,17045a48-2782-4538-a0c3-3786406d51b6,ALIGHIERI The Infernal Realm Ring
Melissa Obadash,Mia Frill Ruffle Bandeau Dress,179c955d-393b-4d57-9365-ade42a16acaa,Melissa Obadash Mia Frill Ruffle Bandeau Dress
Stella McCartney,Tie Dye Shirt Dress,17e912ac-8bb5-483f-b44b-8bc5768eb9c6,Stella McCartney Tie Dye Shirt Dress
Eileen Fisher,Linen Mandarin Collar Dress,18c42642-2152-45f6-9b48-679f7f0e44dd,Eileen Fisher Linen Mandarin Collar Dress
Eileen Fisher,High Collar Open Jacket,18c64a9b-ec4d-4867-acaf-2d37e4b5054e,Eileen Fisher High Collar Open Jacket
New Balance Athletic Shoe Inc,Fresh Foam X Hierro v7,192316e9-a7e9-4fb8-8f77-850995dee080,New Balance Athletic Shoe Inc Fresh Foam X Hierro v7
Tove,MARTHA CARDIGAN IVORY,1931dabe-5f3d-4bec-b1d6-53aa70cf5448,Tove MARTHA CARDIGAN IVORY
ABLE,COLUMN CUFF BRACELET,1a317213-fa6c-4af7-b09e-2274c3ecd854,ABLE COLUMN CUFF BRACELET
Tommy Hilfiger,Men's No-Tuck Slim Fit Stretch Dress Shirt,1a9f9650-9e05-44c1-90f9-fcd8f4fa6f26,Tommy Hilfiger Men's No-Tuck Slim Fit Stretch Dress Shirt
Teva,Women's Hurricane XLT2 Sandals,1afbd56d-fba1-4717-9c68-10f921d28247,Teva Women's Hurricane XLT2 Sandals
La Perla,Silk Short Robe & Chemise,1b8fb103-abc3-43c4-ae39-7234c4aebb5b,La Perla Silk Short Robe & Chemise
CHLOE,Judy Tote,1bb51d48-9e9a-46d6-b60a-ef18dceceef7,CHLOE Judy Tote
Niyok,Solid Green Tea & Green Clay Facial Cleanser,1bb54e44-9d4d-4777-8bb6-2a6755deb02c,Niyok Solid Green Tea & Green Clay Facial Cleanser
Yes And,Greta Denim Shirt,1c07faf9-0dd5-4cea-ba19-a11f013c5201,Yes And Greta Denim Shirt
Asher Fabric Concepts,Baby Rib 1x1 SUPIMA®,1c8de0a2-c01d-4296-952f-2cb5b7dd4b6e,Asher Fabric Concepts Baby Rib 1x1 SUPIMA®
G-Star Raw,Color Block Originals Slim Tee,1c9aa2e0-ec2a-4d02-8d17-efe8824ef92c,G-Star Raw Color Block Originals Slim Tee
Reformation,Maize Platform Sandal,1cd930f1-2c62-4e86-9a11-25baecd89f4a,Reformation Maize Platform Sandal
HUGO BOSS,Salbo Gym Sweatshirt,1d5778af-dbca-4858-acd8-401951c3683a,HUGO BOSS Salbo Gym Sweatshirt
GSL,NUME,1d7662fd-739a-4c02-be59-123c1bf7bc1f,GSL NUME
JEM + BEA,Eco Backpack,1dfbcfdb-d3bb-467c-875c-035a496faf7a,JEM + BEA Eco Backpack
CHLOE,Woody Medium Canvas Tote,1e7053ae-a88c-46a1-a3c3-9c1d6d6c3faf,CHLOE Woody Medium Canvas Tote
Beyond Yoga,MIDI HIGH WAIST SPACE DYE LEGGINGS,1ec08b79-b735-405b-800e-a0c812d956af,Beyond Yoga MIDI HIGH WAIST SPACE DYE LEGGINGS
Isotoner Signature,Women's Touchscreen Wate-Repellant Fleece Gloves,1ee0ac52-f167-4013-a24d-243301aa5a94,Isotoner Signature Women's Touchscreen Wate-Repellant Fleece Gloves
Juicy Chemistry,Blood Orange and Geranium Deodorant,1f6ea091-22dc-45cf-90a5-5b6bec81db0f,Juicy Chemistry Blood Orange and Geranium Deodorant
Canada Goose,Standard Expedition Parka HUMANATURE,1f7ea5ac-612f-4052-8a35-2549a5dd5955,Canada Goose Standard Expedition Parka HUMANATURE
Jigsaw Clothing,Sueded Jersey Short Sleeve Tee,1f88c5d5-a8b4-4681-a022-f06e7936e8b0,Jigsaw Clothing Sueded Jersey Short Sleeve Tee
Anchal,Two-Tone Crop Top - Slate,20d6b405-f21c-4c15-a113-5efa791b306e,Anchal Two-Tone Crop Top - Slate
Arnsdorf,Gaia Dress,21329ceb-4053-4063-8596-2824d0d23029,Arnsdorf Gaia Dress
Van Heusen,Men's Classic-Fit Herringbone Dress Shirt,21b2b081-22ca-4b49-891e-46c0c245bb8b,Van Heusen Men's Classic-Fit Herringbone Dress Shirt
Veja,Women's V-10 Low Top Sneakers,21ea8a35-ae47-4db3-8560-7793faa2b48f,Veja Women's V-10 Low Top Sneakers
Baum and Pferdgarten,Atlanta Printed Dress,2209663c-ce87-43e6-b18f-b444e7c0fbd5,Baum and Pferdgarten Atlanta Printed Dress
Macy's,"Women's Printed Sleepshirt, Created For Macy's",22ee38a0-17e3-449e-948f-f850fdcda108,"Macy's Women's Printed Sleepshirt, Created For Macy's"
Caroline Rose,Plus Size French Terry V-Neck Swing Tunic,232a889e-6ee7-4d37-bf2c-c2d9d860277e,Caroline Rose Plus Size French Terry V-Neck Swing Tunic
Dermalogica,precleanse cleansing oil,2361dc34-1c18-445b-b450-5e7463de636a,Dermalogica precleanse cleansing oil
Bobo Choses,Ladybug Print Dress,23a649be-947a-4852-9d97-9f261e82b844,Bobo Choses Ladybug Print Dress
Yes And,Malin Denim Jumpsuit,23b4cb4b-01bc-421d-9aa0-baf5030a88e0,Yes And Malin Denim Jumpsuit
C.I. Creaciones Y Textiles Creytex S.A.,testga,23d29844-8d66-4df6-b2ab-a2049b575dee,C.I. Creaciones Y Textiles Creytex S.A. testga
Plant Faced Clothing,EAT PLANTS SCATTERED ROSES - LONG SLEEVE - WHITE,23d5d76d-32a0-4581-8875-2558b9d8d607,Plant Faced Clothing EAT PLANTS SCATTERED ROSES - LONG SLEEVE - WHITE
Balenciaga,Oversized Logo Hoodie,23ee7fc9-984e-4a29-bf8c-09fb536bf243,Balenciaga Oversized Logo Hoodie
Tommy Hilfiger,Men's No-Tuck Slim Fit Stretch Dress Shirt,247ced17-f7e2-4f8e-bca0-9c5c70a94411,Tommy Hilfiger Men's No-Tuck Slim Fit Stretch Dress Shirt
Harvest & Mill,Women's Organic Raglan in Black,24de9391-dcd6-4d61-aa6b-518b520ab85f,Harvest & Mill Women's Organic Raglan in Black
Holo footwear,Men's Maverick Suede Lightweight Multi-Purpose Waterproof Lace-Up Shoe,24e0e664-86f9-4c5c-a629-abd73e5d79bf,Holo footwear Men's Maverick Suede Lightweight Multi-Purpose Waterproof Lace-Up Shoe
Sanuk,Women's Sugar Mat Slippers,24ec62f4-1674-45c7-8fac-df48a38a4ef5,Sanuk Women's Sugar Mat Slippers
COS,Drawstring Backpack,256b9c4e-6f35-43a0-9f38-3efdc6e79df7,COS Drawstring Backpack
Accompany,Luxe Layer Friendship Bracelet,2570a181-46e8-4618-b84f-81be63925f31,Accompany Luxe Layer Friendship Bracelet
Yes And,Malin Denim Jumpsuit,257ca4db-858d-485d-8497-fe1d3662ed46,Yes And Malin Denim Jumpsuit
Ninety Percent,Viscose Rib Keyhole Top,25a30540-49a4-4705-94c3-6985bd435924,Ninety Percent Viscose Rib Keyhole Top
Mara Hoffman,Namari Dress,2657eea3-e6fc-45a7-b32d-829fba8c63e6,Mara Hoffman Namari Dress
Allbirds,Women's Wool Pipers,276ece93-67f5-4887-8b17-f89bd8f4e7f3,Allbirds Women's Wool Pipers
La Perla,Silk Short Robe,27e3226f-3a3b-4382-a38b-1a93b55c913c,La Perla Silk Short Robe
Yes And,Amber Sweatshirt Dress,287e2517-8ea8-434a-b66c-32576284fb61,Yes And Amber Sweatshirt Dress
GSL,LEBLANC,28e8bdd6-b39a-49a6-9798-85a22fc4b1f7,GSL LEBLANC
LVMH,Evangeline Dress,29343ece-4883-437a-8d19-47a23ee8a1d9,LVMH Evangeline Dress
GSL,LAYTON,293884ce-3e1e-480f-9ee4-f88430c27416,GSL LAYTON
Melissa Obadash,Ashley Floral Eyelet Minidress,298b7aed-2f45-42ec-b2bf-7c79283acc98,Melissa Obadash Ashley Floral Eyelet Minidress
Levi Strauss & Co,721 High Rise Skinny Jeans,299a622b-9683-4344-98c9-e978b933480c,Levi Strauss & Co 721 High Rise Skinny Jeans
Calvin Klein,CK Logo Slim Fit T-Shirt,29d1f993-21b5-474a-97b4-6f553f879cfb,Calvin Klein CK Logo Slim Fit T-Shirt
Everlane,The Oxford Popover,29ffbd8f-77a7-44f0-a063-570977e52dc4,Everlane The Oxford Popover
Calvin Klein,Calvin Klein Men's STEEL Slim-Fit Non-Iron Stretch Performance Dress Shirt,2a3cf3b8-2b60-47f2-be63-cffff513b2f7,Calvin Klein Calvin Klein Men's STEEL Slim-Fit Non-Iron Stretch Performance Dress Shirt
Aje,Julia Denim Ruffle Hem Mini Dress,2aff82ef-5ad5-4e4a-831a-7823ec5c04c2,Aje Julia Denim Ruffle Hem Mini Dress
HUGO BOSS,2 Pack Ankle Socks,2b1ad971-924e-4298-98a4-08094f40a23d,HUGO BOSS 2 Pack Ankle Socks
Nisolo,Link Earrings,2b2061e2-8ddd-4192-b190-2ffd8886b05a,Nisolo Link Earrings
Franco Sarto,Vana Ballet Flats,2b75de9e-075a-4867-804f-a88e01c63498,Franco Sarto Vana Ballet Flats
Sam Edelman,Women's Yaro Dress Sandals,2b7e7a8f-1489-4352-853f-6fafb6670bc5,Sam Edelman Women's Yaro Dress Sandals
The Body Shop,Vanilla Pumpkin Shower Cream,2c1b2992-81fc-49fe-81f6-79e7d8b4fedd,The Body Shop Vanilla Pumpkin Shower Cream
Lemlem,Nunu Plunge-Neck Dress,2c356b02-2282-416d-bff7-471006c3d163,Lemlem Nunu Plunge-Neck Dress
Naturalizer,Tiff Ankle Strap Sandals,2c578047-5bab-4321-93ae-c7ab222a58e7,Naturalizer Tiff Ankle Strap Sandals
Ganni,Seersucker Check Frill Top,2c95c200-d1df-4b31-90c1-ebe810710631,Ganni Seersucker Check Frill Top
New Balance Athletic Shoe Inc,XC-72,2d0a5b89-2f00-4079-868f-0d05a1711479,New Balance Athletic Shoe Inc XC-72
Topytop S.A,Polo Shirt Topitop,2d0d8df3-b9dd-45b5-b24d-c4bcc0cf8696,Topytop S.A Polo Shirt Topitop
Holo footwear,Women's Credimus Waterproof Sneakers,2d84d7c6-5e81-4fb3-80c4-768850dadb64,Holo footwear Women's Credimus Waterproof Sneakers
Sanuk,Women's Slingback Tropical Thong Sandals,2da41417-9171-48d3-a6ad-d92b990da0c7,Sanuk Women's Slingback Tropical Thong Sandals
Faithfull The Brand,Rory Midi Dress,2dc70b0a-e622-484b-89ca-1a5898a4b7e5,Faithfull The Brand Rory Midi Dress
Caroline Rose,Easy French Terry Dress,2dd3846e-3afd-4d4e-a1cb-5224bf90195d,Caroline Rose Easy French Terry Dress
Michael Kors,Men's Fine Gauge Knit Slim Fit Dress Shirt,2e38a304-ef28-4840-ba05-53692d9ccfbe,Michael Kors Men's Fine Gauge Knit Slim Fit Dress Shirt
Stella McCartney,Vegan Leather Shoulder Bag,2e57b137-dcb0-4892-976e-6580af8a3838,Stella McCartney Vegan Leather Shoulder Bag
Isotoner Signature,Women's Memory Foam Microsuede Nelly Boot Slippers,2e72196b-4f97-410d-a4b2-877f647ce2c0,Isotoner Signature Women's Memory Foam Microsuede Nelly Boot Slippers
Niyok,Green Touch Deodorant Cream,2f4c0415-43ea-419b-b740-6b980247a225,Niyok Green Touch Deodorant Cream
Girlfriend collective,High-rise stretch-recycled polyester shorts,2f7c810f-bb0f-4778-a864-fa21cc3c52a5,Girlfriend collective High-rise stretch-recycled polyester shorts
JEM + BEA,Eco Belt Bag,2f951564-c964-47b2-9d1e-bb122ab101ec,JEM + BEA Eco Belt Bag
Afend,ELATION- HEMP OVERSIZED T-SHIRT - LIME GREEN Hemp Oversized T-Shirt,2fa17833-1121-4781-9d4d-2c398b66f14c,Afend ELATION- HEMP OVERSIZED T-SHIRT - LIME GREEN Hemp Oversized T-Shirt
Teva,Women's Hurricane XLT Ampsole Sandals,2fb3ef78-7644-4398-b788-3f0ce1790912,Teva Women's Hurricane XLT Ampsole Sandals
Ralph Lauren Corporation,Terra Poly Fill Jacket,2fcd243b-fecd-495e-9889-f9969615a839,Ralph Lauren Corporation Terra Poly Fill Jacket
Topytop S.A,Sweatshirt Topitop,2fe623c7-af05-4465-b6df-c776fe44f359,Topytop S.A Sweatshirt Topitop
Van Heusen,Men's Stain Shield Regular Fit Stretch Dress Shirt,3010b586-f77f-42f1-9e9b-4a7513e7e618,Van Heusen Men's Stain Shield Regular Fit Stretch Dress Shirt
Levi Strauss & Co,Women's 311 Shaping Skinny Jeans,30478488-84ad-49dc-bea6-8baaeaa5de89,Levi Strauss & Co Women's 311 Shaping Skinny Jeans
Nanushka,Vegan Leather Bucket Bag,31458344-a2da-46e1-9a67-b77ffa7ec7ba,Nanushka Vegan Leather Bucket Bag
Paul Smth,Cotton Zebra Logo T-Shirt,3187324c-df8a-4447-ad91-c7af3c904f0d,Paul Smth Cotton Zebra Logo T-Shirt
Summersalt,The Ruched Sidestroke Bikini Top,318cc5ac-011e-4270-a6f6-fc559c648592,Summersalt The Ruched Sidestroke Bikini Top
Cami NYC,Harley Silk-Linen Pants,323b0db6-b48d-44ce-81c0-4d2aa6809799,Cami NYC Harley Silk-Linen Pants
Ganni,Women's Platform Mid Calf Chelsea Boots,323f27a9-45a1-4338-8d23-ffa969fe5eda,Ganni Women's Platform Mid Calf Chelsea Boots
